codigo,descricao,soma,media,calculo,minimo,maximo,variancia,amplitude,desvio_padrao,frequencia,quantidade_median,quantidade_q1,quantidade_q3,frequencia_relativa,qtd_1_emb,qtd_2_emb,qtd_3_emb,qtd_4_emb,qtd_5_emb,qtd_6_emb,qtd_7_emb,qtd_8_emb,qtd_9_emb,qtd_10_emb,qtd_11_emb,qtd_12_emb,qtd_13_emb,qtd_14_emb,qtd_15_emb,qtd_18_emb,qtd_21_emb,qtd_24_emb,qtd_25_emb
10084,81034 BR PLAFON EM ALUMINIO P/2 E27,7,3.5,7.0,2,5,4.5,3,2.1213203435596424,2,3.5,2.75,4.25,0.0018,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10085,81034 PR PLAFON EM ALUMINIO P/2 E27,9,1.8,4.0,1,4,1.7,3,1.3038404810405297,5,1.0,1.0,2.0,0.0044,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10086,81034 CO PLAFON EM ALUMINIO P/2 E27,2,1.0,1.0,1,1,0.0,0,0.0,2,1.0,1.0,1.0,0.0018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10113,81040 ARANDELA INJ PRETA 15CM LC/ABERTA,4,2.0,4.0,1,3,2.0,2,1.4142135623730951,2,2.0,1.5,2.5,0.0018,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10114,81040 ARANDELA INJ BRANCA 15CM LC/ABERTA,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10126,81044 ARANDELA INJ PRETA 15CM LC/GRADE X,5,2.5,6.0,1,4,4.5,3,2.1213203435596424,2,2.5,1.75,3.25,0.0018,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10359,81050 BR ARANDELA EM ALUMINIO CUPULA,14,1.75,4.0,1,6,3.0714285714285716,5,1.7525491637693282,8,1.0,1.0,1.25,0.0071,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10360,81050 PR ARANDELA EM ALUMINIO CUPULA,8,1.6,2.0,1,2,0.3,1,0.5477225575051661,5,2.0,1.0,2.0,0.0044,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10405,81053 BR ARANDELA EM ALUMINIO 1 LAMP,37,2.176470588235294,4.0,1,6,1.5294117647058825,5,1.2366938848016846,17,2.0,2.0,2.0,0.0151,0.3333,0.619,0.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10406,81053 PR ARANDELA EM ALUMINIO 1 LAMP,3,1.5,3.0,1,2,0.5,1,0.7071067811865476,2,1.5,1.25,1.75,0.0018,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10457,81060 DOURADO ARANDELA AL CUPULA CRU NAT,64,4.571428571428571,10.0,1,12,14.263736263736263,11,3.776736191970027,14,2.0,2.0,6.0,0.0124,0.2222,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10458,81061 DOURADO ARANDELA AL CUPULA PRETA,15,2.5,6.0,1,6,4.3,5,2.073644135332772,6,1.5,1.0,3.5,0.0053,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10465,81065 DOURADO ARANDELA AL CUPULA PRETA,7,7.0,,7,7,,0,,1,7.0,7.0,7.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10475,81064 DOURADO ARANDELA AL CUPULA CRU NAT,21,2.625,5.0,1,5,2.267857142857143,4,1.5059406173077154,8,2.0,1.75,4.0,0.0071,0.3846,0.6154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10558,8148 PR POSTE C/TUBO AL P/1 LAMP 1 METRO,19,3.8,11.0,1,12,21.2,11,4.604345773288535,5,2.0,2.0,2.0,0.0044,0.1429,0.5714,0.0,0.1429,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10559,8148 BR POSTE C/TUBO AL P/1 LAMP 1 METRO,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10666,81090 ARANDELA INJ PRETA E27 LC/OVAL,16,4.0,10.0,1,10,18.0,9,4.242640687119285,4,2.5,1.0,5.5,0.0036,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10679,81090 ARANDELA INJ BRANCA E27 LC/OVAL,11,5.5,7.0,5,6,0.5,1,0.7071067811865476,2,5.5,5.25,5.75,0.0018,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10680,81090 ARANDELA INJ MR E27 LC / OVAL,6,3.0,5.0,2,4,2.0,2,1.4142135623730951,2,3.0,2.5,3.5,0.0018,0.6667,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10681,81092 ARANDELA INJ PRETA E27 LL / OVAL,1,1.0,,1,1,,0,,1,1.0,1.0,1.0,0.0009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10685,81091 ARAND INJ BRANCA E27 LC / TRIANG,4,4.0,,4,4,,0,,1,4.0,4.0,4.0,0.0009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10686,81091 ARAND INJ MARROM E27 LC / TRIANG,18,9.0,11.0,8,10,2.0,2,1.4142135623730951,2,9.0,8.5,9.5,0.0018,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10688,81093 ARAND INJ BRANCO E27 LL / TRIANG,12,6.0,14.0,2,10,32.0,8,5.656854249492381,2,6.0,4.0,8.0,0.0018,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10826,EC 8136 PR PENDENTE INJ P/1 LAMP E27 L/C,347,26.692307692307693,42.0,8,40,109.56410256410258,32,10.467287259080194,13,28.0,20.0,36.0,0.0116,0.4324,0.2635,0.1351,0.0608,0.0405,0.027,0.0068,0.0135,0.0068,0.0,0.0068,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10827,EC 8117 PR POSTE C/TUBO AL P/2 LAMP INJ,139,10.692307692307692,20.0,4,23,38.73076923076923,19,6.223404954746978,13,10.0,5.0,14.0,0.0116,0.947,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10828,EC 8122 PR POSTE C/TUBO AL P/2 LAMP INJ,65,7.222222222222222,15.0,2,17,29.444444444444443,15,5.426273532033235,9,5.0,3.0,9.0,0.008,0.9844,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10829,EC 8338 PR ARANDELA INJ P/1 LAM E27-SACO,47,7.833333333333333,24.0,1,29,115.76666666666665,28,10.759491933482114,6,4.0,1.25,7.5,0.0053,0.3333,0.1333,0.0667,0.1333,0.2,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10830,EC 8119 PR BALIZADOR P/JD E MURO INJ TER,58,6.444444444444445,12.0,1,12,15.527777777777775,11,3.940530139178963,9,6.0,4.0,10.0,0.008,0.125,0.3125,0.0,0.375,0.0,0.125,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10831,EC 8237 PR ARANDELA INJ P/ 1 LAMP,214,17.833333333333332,39.0,1,54,200.15151515151513,53,14.147491479110887,12,15.5,11.5,19.0,0.0107,0.2885,0.0962,0.1538,0.1731,0.0385,0.0,0.0192,0.0192,0.1923,0.0,0.0,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.0
10833,EC 8385 PR BALIZADOR INJ P/1 LAMP,47,4.7,11.0,2,12,15.344444444444443,10,3.9171985454460234,10,3.0,2.25,4.0,0.0089,0.3333,0.1333,0.1333,0.2,0.0,0.1333,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10834,EC 8125 PR PENDENTE INJ P/1 LAM E27-SACO,26,13.0,28.0,6,20,98.0,14,9.899494936611665,2,13.0,9.5,16.5,0.0018,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10835,EC 81060 DOURADO ARAND AL CUPULA CRU NAT,64,5.818181818181818,11.0,1,11,10.363636363636363,10,3.2192602199319587,11,6.0,3.5,8.0,0.0098,0.3158,0.6842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10836,"EC 8151 PR BALIZADOR L/C P/JD, MURO P/1L",74,7.4,18.0,2,23,49.599999999999994,21,7.042726744663603,10,3.5,3.0,11.5,0.0089,0.2759,0.4138,0.069,0.069,0.069,0.1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10837,EC 8150 PR BALIZADOR L/F P/JD E MURO P/1,78,7.8,18.0,2,25,49.28888888888889,23,7.0206045956804095,10,6.0,2.75,9.25,0.0089,0.1818,0.4091,0.0909,0.0,0.1818,0.0,0.0,0.0,0.0,0.1364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10838,EC 8337 PR PENDENTE INJ P/1 LAMP E27,90,10.0,23.0,1,24,70.75,23,8.411301920630361,9,7.0,4.0,15.0,0.008,0.25,0.2857,0.25,0.0357,0.0,0.0357,0.0,0.1071,0.0,0.0,0.0,0.0357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10840,EC 8428 PR ARANDELA C/SUP.INF.P/1L E27,15,3.75,4.0,3,4,0.25,1,0.5,4,4.0,3.75,4.0,0.0036,0.1667,0.3333,0.3333,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10841,EC 8126 PR ARANDELA C/SUP.INF.P/1L E27,29,4.142857142857143,9.0,2,11,9.80952380952381,9,3.132015933791495,7,3.0,2.5,4.0,0.0062,0.1111,0.3333,0.1111,0.3333,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10844,EC 81064 DOURADO ARANDELA AL CUPULA CRU,5,1.6666666666666667,3.0,1,2,0.3333333333333333,1,0.5773502691896257,3,2.0,1.5,2.0,0.0027,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10845,EC 8384 PR ARANDELA INJ P/1 LAMP SUP C/P,32,8.0,23.0,1,22,94.00000000000001,21,9.695359714832659,4,4.5,1.75,10.75,0.0036,0.2222,0.3333,0.1111,0.0,0.1111,0.1111,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10846,EC 8244 PR ARANDELA P/1LAMP E27 LENTE TR,66,6.0,16.0,1,19,40.2,18,6.340346993658944,11,3.0,2.0,8.5,0.0098,0.2222,0.1667,0.3333,0.0556,0.0556,0.0,0.0556,0.0,0.0,0.0556,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10847,EC 8116 PR POSTE C/TUBO AL P/1 LAMP INJ,59,6.555555555555555,14.0,2,16,23.77777777777778,14,4.876246279442598,9,6.0,2.0,8.0,0.008,0.0345,0.931,0.0,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10848,EC 8429 PR ARANDELA C/SUP.SUP.P/1L E27,17,1.7,3.0,1,3,0.4555555555555555,2,0.6749485577105528,10,2.0,1.0,2.0,0.0089,0.5455,0.3636,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10849,EC 8341 PR ARANDELA INJ P/ 1 LAMP,19,3.8,9.0,1,10,13.2,9,3.63318042491699,5,2.0,2.0,4.0,0.0044,0.6364,0.1818,0.0909,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10947,EC 8147 PR BALIZADOR L/C P/JD/ MURO P/1L,113,12.555555555555555,25.0,2,26,70.02777777777777,24,8.368260140422128,9,14.0,7.0,19.0,0.008,0.3261,0.413,0.0,0.1304,0.0,0.1304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10948,EC 8145 PR BALIZADOR P/1 LAMP E27 L/C,98,12.25,28.0,1,30,111.64285714285714,29,10.566118357412865,8,11.0,2.75,18.5,0.0071,0.125,0.25,0.125,0.2083,0.0,0.1667,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10949,EC 8140 PR PENDENTE P/1 LAMP E27 L/C,6,6.0,,6,6,,0,,1,6.0,6.0,6.0,0.0009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10950,EC 8341 BR ARANDELA INJ P/ 1 LAMP,50,7.142857142857143,23.0,1,31,117.80952380952384,30,10.854009572942335,7,2.0,2.0,6.0,0.0062,0.3158,0.3684,0.1579,0.0526,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10951,EC 8428 MR ARANDELA C/SUP.INF.P/1L E27,13,4.333333333333333,7.0,2,6,4.333333333333333,4,2.0816659994661326,3,5.0,3.5,5.5,0.0027,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10952,EC 8341 MR ARANDELA INJ P/ 1 LAMP,24,8.0,15.0,3,12,21.0,9,4.58257569495584,3,9.0,6.0,10.5,0.0027,0.2222,0.4444,0.1111,0.1111,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10953,EC 81050 BR ARANDELA EM ALUMINIO CUPULA,16,2.2857142857142856,4.0,1,4,1.2380952380952384,3,1.1126972805283737,7,2.0,1.5,3.0,0.0062,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10954,EC 8243 PR PROJ INJ P/ 1 LA PAR 20/30/38,51,12.75,36.0,2,35,242.25,33,15.56438241627338,4,7.0,2.0,17.75,0.0036,0.2222,0.2222,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.1111,0.0,0.0,0.1111,0.0,0.0,0.0,0.0
10956,EC 8394 PR/LC ARAND INJ P/1 LAMP SACO PL,45,11.25,29.0,3,29,142.91666666666666,26,11.954775893619532,4,6.5,5.25,12.5,0.0036,0.0,0.0,0.2857,0.1429,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10957,EC 8133 PR BALIZADOR P/1 LAMP E27,39,4.875,13.0,1,17,26.410714285714285,16,5.139135558215436,8,3.5,2.0,4.5,0.0071,0.3077,0.2308,0.0769,0.1538,0.0,0.2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11053,EC 8144 PR POSTE P/2 LAMP E27 L/C,5,5.0,,5,5,,0,,1,5.0,5.0,5.0,0.0009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114,8119 PR BALIZADOR P/JD E MURO INJ TERM,144,8.0,20.0,1,30,68.70588235294117,29,8.288901154733429,18,4.0,3.25,7.0,0.016,0.2558,0.3488,0.0698,0.1395,0.0,0.0698,0.0233,0.0,0.0,0.0698,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.0,0.0
1115,8119 BR BALIZADOR P/JD E MURO INJ TERM,54,6.75,20.0,1,26,73.07142857142857,25,8.548182764273854,8,3.5,1.75,6.75,0.0071,0.2667,0.1333,0.2,0.0667,0.0667,0.1333,0.0,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,8075/2 AL/ PR POSTE AL S/ GLOBO,5,1.6666666666666667,3.0,1,2,0.3333333333333333,1,0.5773502691896257,3,2.0,1.5,2.0,0.0027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8110 PR PENDENTE INJ EM TERMOPLASTICO,15,7.5,9.0,7,8,0.5,1,0.7071067811865476,2,7.5,7.25,7.75,0.0018,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,8240 PR PROJETOR AL P/1 LAM PAR 20/30/38,34,4.857142857142857,11.0,1,12,15.142857142857144,11,3.8913824205360674,7,3.0,2.5,6.5,0.0062,0.2222,0.2222,0.2222,0.1111,0.0,0.0,0.0,0.1111,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
